"PMNUM","TIMES_SCHEDULED","TIMES_ONTIME","TIMES_LATE","TIMES_NOT_COMPLETED","AVG_PLANNED_HRS","AVG_ACTUAL_HRS"
PM104956,12,3,0,9,5.0,1.2083333333333333
PM105442,12,4,0,8,0.5,0.16666666666666666
PM105540,52,37,7,8,1.0,0.7980769230769231
PM178837,8,0,0,8,1.0,0.0
PM106181,364,350,7,7,0.5,0.5782967032967034
PM174067,7,0,0,7,2.5,0.0
PM161529,52,40,6,6,0.5,0.4423076923076923
PM161530,52,39,7,6,0.5,0.4423076923076923
PM154653,50,43,2,5,4.0,0.98
PM154654,50,41,4,5,4.0,1.03
PM154655,50,43,2,5,4.0,1.05
PM188065,5,0,0,5,0.0,0.0
PM104183,12,6,2,4,8.0,3.0416666666666665
PM105592,5,1,0,4,3.2,0.6
PM106090,52,44,4,4,0.5,0.5961538461538461
PM106468,12,2,6,4,0.5,0.3194444444444445
PM106469,12,2,6,4,0.5,0.3125
PM106470,12,2,6,4,0.3333333333333333,0.1875
PM106495,12,0,8,4,0.8472222222222223,0.4375
PM106496,12,1,7,4,0.847222222222222,0.2152777777777778
PM106507,12,0,8,4,0.8472222222222223,0.46527777777777785
PM106627,12,2,6,4,1.3333333333333333,0.9513888888888888
PM106700,12,0,8,4,0.9444444444444443,0.4375
PM107151,12,2,6,4,0.5,0.3541666666666667
PM107154,12,2,6,4,0.08333333333333333,0.09722222222222221
PM107155,12,2,6,4,0.08333333333333333,0.09722222222222221
PM134278,7,2,1,4,2.5,0.5714285714285714
PM154656,50,44,2,4,4.0,0.94
PM166459,4,0,0,4,2.0,0.0
PM176439,8,3,1,4,0.25,0.125
PM176445,4,0,0,4,8.0,0.0
PM176446,4,0,0,4,8.0,0.0
PM104289,5,2,0,3,2.0,0.6
PM104465,4,1,0,3,6.0,0.125
PM104479,5,2,0,3,2.0,0.6
PM104957,5,2,0,3,2.0,0.8
PM104965,4,1,0,3,3.0,0.25
PM105177,37,31,3,3,1.5,1.3247747747747747
PM105405,4,1,0,3,6.0,1.5
PM105514,4,1,0,3,3.0,0.25
PM105587,6,3,0,3,2.0,1.0
PM105736,7,3,1,3,2.5,1.0714285714285714
PM106115,4,1,0,3,8.0,0.75
PM106347,5,2,0,3,4.0,0.6
PM106441,12,1,8,3,0.5833333333333333,0.3055555555555556
PM106466,12,2,7,3,0.5833333333333333,0.31250000000000006
PM106467,12,2,7,3,0.5833333333333333,0.31250000000000006
PM106701,12,0,9,3,0.9444444444444443,0.4444444444444444
PM106702,12,2,7,3,0.5,0.2708333333333333
PM106703,12,1,8,3,0.5,0.19444444444444442
PM106704,12,0,9,3,0.9166666666666665,0.5555555555555555
PM106705,12,0,9,3,0.9166666666666665,0.5347222222222222
PM106706,12,0,9,3,0.9166666666666665,0.5347222222222222
PM106707,12,0,9,3,0.9166666666666665,0.5347222222222222
PM106708,12,0,9,3,0.9166666666666665,0.5347222222222222
PM106710,12,2,7,3,0.25,0.14583333333333334
PM106711,12,2,7,3,0.75,0.2916666666666667
PM106712,12,2,7,3,0.25,0.14583333333333334
PM106713,12,2,7,3,0.25,0.14583333333333334
PM106956,12,0,9,3,0.75,0.3680555555555556
PM106957,12,0,9,3,0.75,0.3333333333333333
PM106958,12,1,8,3,0.25,0.3263888888888889
PM106959,12,2,7,3,0.4166666666666667,0.22916666666666666
PM106960,12,2,7,3,0.4166666666666667,0.22916666666666666
PM106961,12,2,7,3,0.25,0.14583333333333334
PM106963,12,2,7,3,0.25,0.14583333333333334
PM106966,12,2,7,3,0.16666666666666666,0.1111111111111111
PM107091,12,1,8,3,0.9444444444444443,0.4583333333333333
PM107092,12,1,8,3,0.9444444444444443,0.4375
PM107148,12,3,6,3,0.5833333333333333,0.3819444444444445
PM135042,52,48,1,3,1.0,0.9326923076923077
PM162662,10,7,0,3,3.0,1.45
PM162843,104,95,6,3,2.0,2.3461538461538463
PM164240,339,317,19,3,0.5,0.5236971484759096
PM175578,365,359,3,3,1.5,1.3742009132420092
PM177556,100,83,14,3,0.0,1.05
PM187754,8,4,1,3,0.0,0.22083333333333333
PM104162,11,9,0,2,3.0,2.409090909090909
PM104188,2,0,0,2,1.0,0.0
PM104189,2,0,0,2,1.0,0.0
PM104190,2,0,0,2,1.0,0.0
PM104203,2,0,0,2,3.0,0.0
PM104247,2,0,0,2,6.0,0.0
PM104466,4,2,0,2,2.5,1.25
PM104488,2,0,0,2,4.0,0.0
PM104491,2,0,0,2,4.0,0.0
PM104733,52,50,0,2,1.5,1.3951923076923076
PM104774,2,0,0,2,3.0,0.0
PM104775,2,0,0,2,3.0,0.0
PM104829,2,0,0,2,160.0,0.0
PM104877,4,1,1,2,3.0,1.5
PM104886,156,143,11,2,2.5,2.483974358974359
PM104908,2,0,0,2,24.0,0.0
PM104910,2,0,0,2,24.0,0.0
PM105048,12,10,0,2,2.5,1.7916666666666667
PM105095,2,0,0,2,0.5,0.0
PM105096,2,0,0,2,0.5,0.0
PM105172,86,17,67,2,1.5,1.831782945736434
PM105199,52,48,2,2,1.5,1.6163461538461539
PM105293,2,0,0,2,3.0,0.0
PM105426,52,45,5,2,2.0,1.7211538461538463
PM105516,52,48,2,2,1.0,0.6538461538461539
PM105633,12,9,1,2,3.0,2.5833333333333335
PM105636,12,10,0,2,4.0,3.25
PM105643,4,2,0,2,2.0,1.125
PM105657,6,4,0,2,2.5,1.6666666666666667
PM105707,3,0,1,2,2.8333333333333335,0.0
PM105784,2,0,0,2,4.0,0.0
PM105785,2,0,0,2,4.0,0.0
PM105890,2,0,0,2,1.5,0.0
PM106120,4,2,0,2,3.0,1.5
PM106122,4,2,0,2,3.0,1.5
PM106140,2,0,0,2,2.0,0.0
PM106141,2,0,0,2,2.0,0.0
PM106142,2,0,0,2,2.0,0.0
PM106143,2,0,0,2,2.0,0.0
