PMNUM,COUNTKEY,PMDESCRIPTION,DEPT_NAME,INTERVAL,total_labor_per_occurrence,total_labor_per_occ_capped,TASK_COUNT
PM165035,2026-12-28-PM165035,"MONTHLY, PA2 PRODUCTION SUPPORT",PAINT 2,1-MONTHS,499.75,64.0,4
PM165035,2026-04-28-PM165035,"MONTHLY, PA2 PRODUCTION SUPPORT",PAINT 2,1-MONTHS,499.75,64.0,4
PM165035,2026-11-28-PM165035,"MONTHLY, PA2 PRODUCTION SUPPORT",PAINT 2,1-MONTHS,499.75,64.0,4
PM165035,2026-07-28-PM165035,"MONTHLY, PA2 PRODUCTION SUPPORT",PAINT 2,1-MONTHS,499.75,64.0,4
PM165035,2027-01-28-PM165035,"MONTHLY, PA2 PRODUCTION SUPPORT",PAINT 2,1-MONTHS,499.75,64.0,4
PM165035,2026-10-28-PM165035,"MONTHLY, PA2 PRODUCTION SUPPORT",PAINT 2,1-MONTHS,499.75,64.0,4
PM165035,2027-02-28-PM165035,"MONTHLY, PA2 PRODUCTION SUPPORT",PAINT 2,1-MONTHS,499.75,64.0,4
PM165035,2026-08-28-PM165035,"MONTHLY, PA2 PRODUCTION SUPPORT",PAINT 2,1-MONTHS,499.75,64.0,4
PM165035,2026-09-28-PM165035,"MONTHLY, PA2 PRODUCTION SUPPORT",PAINT 2,1-MONTHS,499.75,64.0,4
PM165035,2026-05-28-PM165035,"MONTHLY, PA2 PRODUCTION SUPPORT",PAINT 2,1-MONTHS,499.75,64.0,4
PM165035,2027-03-28-PM165035,"MONTHLY, PA2 PRODUCTION SUPPORT",PAINT 2,1-MONTHS,499.75,64.0,4
PM165035,2026-06-28-PM165035,"MONTHLY, PA2 PRODUCTION SUPPORT",PAINT 2,1-MONTHS,499.75,64.0,4
PM164973,2026-09-28-PM164973,"MONTHLY, TC DUTIES C CREW",PAINT 1,1-MONTHS,250.0,64.0,4
PM164972,2026-08-28-PM164972,"MONTHLY, TC DUTIES B CREW",PAINT 1,1-MONTHS,250.0,64.0,4
