interval_unit,interval_number,count
DAYS,1.0,5980
DAYS,6.0,156
DAYS,7.0,1863
DAYS,14.0,78
DAYS,21.0,68
DAYS,28.0,39
DAYS,32.0,11
DAYS,40.0,36
DAYS,45.0,658
DAYS,60.0,60
DAYS,180.0,86
MONTHS,1.0,33092
MONTHS,2.0,4566
MONTHS,3.0,12109
MONTHS,4.0,1995
MONTHS,5.0,555
MONTHS,6.0,11147
MONTHS,7.0,48
MONTHS,8.0,2
MONTHS,9.0,8
MONTHS,10.0,1
MONTHS,11.0,3
MONTHS,12.0,318
MONTHS,17.0,4
MONTHS,18.0,65
MONTHS,26.0,2
MONTHS,36.0,12
WEEKS,1.0,17475
WEEKS,2.0,892
WEEKS,4.0,1417
WEEKS,5.0,1069
WEEKS,6.0,35
WEEKS,10.0,5
WEEKS,12.0,5
WEEKS,13.0,128
WEEKS,15.0,14
WEEKS,52.0,3
YEARS,1.0,4811
YEARS,2.0,580
YEARS,3.0,297
YEARS,4.0,197
YEARS,5.0,54
YEARS,7.0,3
YEARS,8.0,2
YEARS,10.0,21
YEARS,15.0,5
YEARS,20.0,8
